Net kWh,DATE,calendar_year,month,week,hour,minute,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyRelativeHumidity,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindSpeed,open_to_students
99.6875,2018-01-01 01:00:00,2018,January,1,1,0,-7.0,4.0,60.0,10.0,2.0,310.0,10.0,0
101.1875,2018-01-01 02:00:00,2018,January,1,2,0,-8.0,4.0,57.0,10.0,2.0,310.0,11.0,0
101.9375,2018-01-01 03:00:00,2018,January,1,3,0,-8.0,3.0,60.0,10.0,1.0,320.0,10.0,0
101.8125,2018-01-01 04:00:00,2018,January,1,4,0,-8.0,2.0,63.0,10.0,1.0,320.0,10.0,0
102.0,2018-01-01 05:00:00,2018,January,1,5,0,-8.0,2.0,63.0,10.0,1.0,320.0,10.0,0
101.625,2018-01-01 06:00:00,2018,January,1,6,0,-9.0,2.0,59.0,10.0,0.0,320.0,13.0,0
101.8125,2018-01-01 07:00:00,2018,January,1,7,0,-10.0,2.0,57.0,10.0,0.0,310.0,16.0,0
101.625,2018-01-01 08:00:00,2018,January,1,8,0,-10.0,2.0,57.0,10.0,0.0,320.0,10.0,0
98.75,2018-01-01 09:00:00,2018,January,1,9,0,-9.0,3.0,57.0,10.0,1.0,310.0,15.0,0
98.6875,2018-01-01 10:00:00,2018,January,1,10,0,-8.0,6.0,52.0,10.0,4.0,330.0,17.0,0
97.0625,2018-01-01 11:00:00,2018,January,1,11,0,-8.0,8.0,47.0,10.0,5.0,320.0,13.0,0
96.5,2018-01-01 12:00:00,2018,January,1,12,0,-7.0,12.0,42.0,10.0,9.0,330.0,16.0,0
96.125,2018-01-01 13:00:00,2018,January,1,13,0,-7.0,13.0,40.0,10.0,9.0,300.0,16.0,0
96.5,2018-01-01 14:00:00,2018,January,1,14,0,-7.0,13.0,40.0,10.0,9.0,300.0,11.0,0
97.4375,2018-01-01 15:00:00,2018,January,1,15,0,-7.0,14.0,38.0,10.0,10.0,310.0,14.0,0
97.4375,2018-01-01 16:00:00,2018,January,1,16,0,-8.0,13.0,38.0,10.0,9.0,310.0,17.0,0
100.5,2018-01-01 17:00:00,2018,January,1,17,0,-9.0,11.0,40.0,10.0,8.0,300.0,11.0,0
100.9375,2018-01-01 18:00:00,2018,January,1,18,0,-9.0,10.0,41.0,10.0,7.0,300.0,10.0,0
100.4375,2018-01-01 19:00:00,2018,January,1,19,0,-8.0,10.0,43.0,10.0,7.0,300.0,7.0,0
102.1875,2018-01-01 20:00:00,2018,January,1,20,0,-8.0,9.0,46.0,10.0,6.0,300.0,10.0,0
102.25,2018-01-01 21:00:00,2018,January,1,21,0,-7.0,7.0,52.0,10.0,5.0,270.0,7.0,0
100.9375,2018-01-01 22:00:00,2018,January,1,22,0,-7.0,5.0,57.0,10.0,3.0,260.0,6.0,0
102.125,2018-01-01 23:00:00,2018,January,1,23,0,-7.0,5.0,57.0,10.0,3.0,260.0,6.0,0
101.0625,2018-01-02 00:00:00,2018,January,1,0,0,-6.0,4.0,63.0,10.0,2.0,270.0,5.0,0
99.5625,2018-01-02 01:00:00,2018,January,1,1,0,-7.0,3.0,62.0,10.0,2.0,270.0,5.0,0
103.5625,2018-01-02 02:00:00,2018,January,1,2,0,-5.0,4.0,66.0,10.0,3.0,260.0,7.0,0
99.625,2018-01-02 03:00:00,2018,January,1,3,0,-3.0,7.0,63.0,10.0,5.0,260.0,9.0,0
103.0,2018-01-02 04:00:00,2018,January,1,4,0,-2.0,8.0,63.0,10.0,6.0,280.0,7.0,0
100.4375,2018-01-02 05:00:00,2018,January,1,5,0,-1.0,9.0,64.0,10.0,7.0,280.0,9.0,0
102.375,2018-01-02 06:00:00,2018,January,1,6,0,-3.0,9.0,58.0,10.0,7.0,290.0,11.0,0
101.5625,2018-01-02 07:00:00,2018,January,1,7,0,-4.0,8.0,57.0,10.0,6.0,290.0,10.0,0
103.9375,2018-01-02 08:00:00,2018,January,1,8,0,-3.0,8.0,60.0,10.0,6.0,280.0,7.0,0
100.625,2018-01-02 09:00:00,2018,January,1,9,0,-3.0,10.0,55.0,10.0,8.0,290.0,11.0,0
100.0,2018-01-02 10:00:00,2018,January,1,10,0,-2.0,13.0,51.0,10.0,10.0,300.0,11.0,0
97.875,2018-01-02 11:00:00,2018,January,1,11,0,-3.0,14.0,47.0,10.0,11.0,310.0,10.0,0
98.3125,2018-01-02 12:00:00,2018,January,1,12,0,-4.0,17.0,39.0,10.0,13.0,290.0,9.0,0
96.5,2018-01-02 13:00:00,2018,January,1,13,0,-3.0,19.0,37.0,10.0,14.0,310.0,13.0,0
97.5,2018-01-02 14:00:00,2018,January,1,14,0,1.0,20.0,43.0,10.0,16.0,290.0,11.0,0
98.9375,2018-01-02 15:00:00,2018,January,1,15,0,3.0,20.0,48.0,10.0,16.0,280.0,9.0,0
96.8125,2018-01-02 16:00:00,2018,January,1,16,0,3.0,20.0,48.0,10.0,16.0,250.0,9.0,0
98.625,2018-01-02 17:00:00,2018,January,1,17,0,3.0,17.0,54.0,10.0,14.0,240.0,5.0,0
99.625,2018-01-02 18:00:00,2018,January,1,18,0,3.0,16.0,56.0,10.0,13.0,210.0,7.0,0
99.8125,2018-01-02 19:00:00,2018,January,1,19,0,3.0,15.0,59.0,10.0,12.0,220.0,6.0,0
101.0,2018-01-02 20:00:00,2018,January,1,20,0,5.0,17.0,59.0,10.0,14.0,240.0,8.0,0
101.1875,2018-01-02 21:00:00,2018,January,1,21,0,6.0,18.0,59.0,10.0,15.0,240.0,6.0,0
100.1875,2018-01-02 22:00:00,2018,January,1,22,0,6.0,17.0,62.0,10.0,14.0,260.0,7.0,0
101.4375,2018-01-02 23:00:00,2018,January,1,23,0,7.0,17.0,64.0,10.0,15.0,240.0,8.0,0
99.5625,2018-01-03 00:00:00,2018,January,1,0,0,7.0,18.0,62.0,10.0,15.0,270.0,11.0,0
98.625,2018-01-03 01:00:00,2018,January,1,1,0,7.0,19.0,59.0,10.0,16.0,280.0,10.0,0
97.9375,2018-01-03 02:00:00,2018,January,1,2,0,6.0,18.0,59.0,10.0,15.0,280.0,9.0,0
96.5625,2018-01-03 03:00:00,2018,January,1,3,0,5.0,16.0,62.0,10.0,13.0,270.0,5.0,0
98.375,2018-01-03 04:00:00,2018,January,1,4,0,5.0,15.0,64.0,10.0,13.0,270.0,7.0,0
99.0,2018-01-03 05:00:00,2018,January,1,5,0,3.0,12.0,67.0,10.0,10.0,230.0,7.0,0
98.6875,2018-01-03 06:00:00,2018,January,1,6,0,4.0,12.0,70.0,10.0,10.0,240.0,6.0,0
100.4375,2018-01-03 07:00:00,2018,January,1,7,0,5.0,14.0,67.0,10.0,12.0,260.0,5.0,0
100.0625,2018-01-03 08:00:00,2018,January,1,8,0,5.0,15.0,64.0,10.0,13.0,280.0,3.0,0
100.0625,2018-01-03 09:00:00,2018,January,1,9,0,6.0,19.0,57.0,10.0,16.0,0.0,0.0,0
98.25,2018-01-03 10:00:00,2018,January,1,10,0,6.0,22.0,50.0,10.0,18.0,200.0,7.0,0
96.6875,2018-01-03 11:00:00,2018,January,1,11,0,6.0,25.0,44.0,10.0,20.0,200.0,3.0,0
96.4375,2018-01-03 12:00:00,2018,January,1,12,0,6.0,28.0,39.0,10.0,22.0,230.0,8.0,0
94.0625,2018-01-03 13:00:00,2018,January,1,13,0,10.0,29.0,45.0,10.0,24.0,180.0,8.0,0
94.9375,2018-01-03 14:00:00,2018,January,1,14,0,11.0,31.0,43.0,10.0,25.0,200.0,11.0,0
95.5,2018-01-03 15:00:00,2018,January,1,15,0,12.0,30.0,47.0,10.0,25.0,200.0,13.0,0
93.0625,2018-01-03 16:00:00,2018,January,1,16,0,14.0,28.0,56.0,10.0,24.0,190.0,7.0,0
96.1875,2018-01-03 17:00:00,2018,January,1,17,0,11.0,25.0,55.0,10.0,21.0,0.0,0.0,0
98.125,2018-01-03 18:00:00,2018,January,1,18,0,13.0,22.0,68.0,10.0,19.0,210.0,5.0,0
96.5,2018-01-03 19:00:00,2018,January,1,19,0,12.0,21.0,68.0,10.0,19.0,180.0,5.0,0
99.0625,2018-01-03 20:00:00,2018,January,1,20,0,11.0,19.0,71.0,10.0,17.0,0.0,0.0,0
100.5,2018-01-03 21:00:00,2018,January,1,21,0,12.0,18.0,77.0,9.0,16.0,0.0,0.0,0
100.8125,2018-01-03 22:00:00,2018,January,1,22,0,12.0,18.0,77.0,10.0,16.0,0.0,0.0,0
100.5,2018-01-03 23:00:00,2018,January,1,23,0,14.0,19.0,81.0,10.0,18.0,300.0,3.0,0
99.0,2018-01-04 00:00:00,2018,January,1,0,0,15.0,21.0,78.0,10.0,19.0,350.0,7.0,0
96.625,2018-01-04 01:00:00,2018,January,1,1,0,15.0,23.0,72.0,10.0,21.0,350.0,10.0,0
96.0625,2018-01-04 02:00:00,2018,January,1,2,0,15.0,24.0,68.0,10.0,21.0,10.0,7.0,0
96.25,2018-01-04 03:00:00,2018,January,1,3,0,18.0,25.0,75.0,4.0,23.0,10.0,13.0,0
97.75,2018-01-04 04:00:00,2018,January,1,4,0,19.0,25.0,78.0,10.0,23.0,10.0,15.0,0
97.5625,2018-01-04 05:00:00,2018,January,1,5,0,14.0,26.0,60.0,10.0,22.0,10.0,17.0,0
97.0625,2018-01-04 06:00:00,2018,January,1,6,0,12.0,26.0,55.0,10.0,22.0,10.0,20.0,0
98.125,2018-01-04 07:00:00,2018,January,1,7,0,14.0,26.0,60.0,4.0,22.0,10.0,22.0,0
98.0,2018-01-04 08:00:00,2018,January,1,8,0,19.0,26.0,75.0,1.5,24.0,10.0,26.0,0
99.4375,2018-01-04 09:00:00,2018,January,1,9,0,24.0,25.0,96.0,0.25,25.0,10.0,26.0,0
95.4375,2018-01-04 10:00:00,2018,January,1,10,0,26.0,27.0,96.0,0.0,27.0,10.0,28.0,0
94.4375,2018-01-04 11:00:00,2018,January,1,11,0,26.0,27.0,96.0,0.25,27.0,10.0,28.0,0
